ID,Название навыка,Описание навыка и компетенции,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ACDSee,"ACDSee — коммерческая (в прошлом — условно-бесплатная) программа для просмотра и управления коллекцией изображений, выпускаемая ACD Systems. Содержит многочисленные инструменты для обработки изображений, в том числе и пакетной.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aweber,"AWeber — это упрощённый онлайн-инструмент для Email-маркетинга. Он умеет не только удерживать базу подписчиков, но и преобразовывать сообщения в блоге в почтовые рассылки (из RSS-каналов). Доступно сегментирование подписчиков, ускорение создания писем с множеством HTML-шаблонов, а также мгновенные отклики с помощью автоответчиков.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,ANSI C,"ANSI C — стандарт языка C, опубликованный Американским национальным институтом стандартов (ANSI). Следование этому стандарту помогает создавать легкопортируемые программы.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Away3D,"Away3D является открытая структура Источником для создания интерактивных 3D-графики внутри Adobe Flash Player и Adobe AIR, написанный в ActionScript 3. Away3D работает на текущих веб-браузеров, использующих Adobe Flash Player, и использует Stage3D для оказания GPU-ускорением.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,ArcGIS,"ArcGIS – это система для построения ГИС любого уровня. ArcGISдает возможность легко создавать данные, карты, глобусы и модели в настольных программных продуктах, затем публиковать их и использовать в настольных приложениях, в веб-браузерах и в поле, через мобильные устройства.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Axapta,"Axapta - это масштабируемая система для средних и крупных предприятий, корпораций и холдинговых структур, предоставляющая единое интегрированное решение, на правленное на повышение управляемости Вашего бизнеса и роста прибыли Вашего предприятия.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,AvtiveX,"ActiveX- это технология, разработанная Microsoft Corporation для распространения программного обеспечения через Internet. Как и апплеты Java, управляющие элементы (""control"") могут быть включены в документы Web, где они обычно выглядят как ""разумные"" интерактивные рисунки.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASP.NET,"ASP.NET, основываясь на Common Language Runtime (CLR), которая является основой всех приложений Microsoft . NET. Разработчики могут писать код дляASP.NET, используя практически любые языки программирования, входящие в комплект . NET Framework (C#, Visual Basic.NET и JScript .",,,,,,,,,,,,,,,,,,,,,,,,,,,
,ArtRage,ArtRage 3 - одна из лучших программ растровой графики для создания на компьютере реалистических произведений художественного творчества. Во многих аспектах это приложение исключительно! ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AutoCAD,"AutoCAD — двух- и трёхмерная система автоматизированного проектирования и черчения, разработанная компанией Autodesk. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Auctiva,"Auctiva это система управления аукционе eBay, основанная в 1998 году Джеффом Шлихт. Schlicht, инженер-программист, написать программу для автоматизации задачу размещения объявления на eBay. После предоставления программного обеспечения для друзей и семьи, которые пользуются удобством оно представленную он сформировал Auctiva, который используется физические и юридические лица пытаются проводить электронной коммерции через eBay",,,,,,,,,,,,,,,,,,,,,,,,,,,
,AppFuse,"AppFuse является открытым исходным кодом Java EE рамки веб-приложение. Он предназначен для быстрого и легкого запуска до развития, а также с использованием открытого источника Java технологии, такие как Spring Framework, Hibernate и Struts. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avactis,Avactis является открытым исходным кодом электронной коммерции корзина программного обеспечения (интернет-магазин).,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arduino,"Arduino — торговая марка аппаратно-программных средств для построения простых систем автоматики и робототехники, ориентированная на непрофессиональных пользователей. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amadeus,Amadeus — одна из крупнейших в мире глобальных дистрибьюторских систем.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acronis,"Acronis — компания-разработчик системных решений для корпоративных и домашних пользователей по работе с жёсткими дисками, резервным копированием данных, управлению загрузкой операционных систем, редактированию дисков, надёжному уничтожению данных, и прочих системных средств.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Android,"Android («Андро́ид»[ком. 1]) — операционная система для смартфонов, интернет-планшетов, электронных книг, цифровых проигрывателей, наручных часов, игровых приставок, нетбуков, смартбуков, очков Google[2], телевизоров[3] и других устройств. В будущем планируется поддержка автомобилей[4] и бытовых роботов. Основана на ядре Linux[5] и собственной реализации виртуальной машины Java от Google",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Absynth," является коммерческим программным синтезатором, доступным для платформ Windows и Mac OS. Absynth совмещает в себе диапазон традиционных технологий синтеза звука (субтрактивных) и современных (гранулярных и основанных на семплировании). Это позволяет синтезатору быть использованным для создания сложных неоднородных звуков. Absynth может быть использован как самостоятельное приложение, так и как плагин следующих форматов: VST, Audio Units, RTAS, DXi, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,ACT,PROTECT IP Act (известен также под именами PROTECT Intellectual Property Act и PIPA; полное название — Закон 2011 года о предотвращении реальных сетевых угроз экономическому творческому потенциалу и кражи интеллектуальной собственности ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aMember," — это гибкий, дружественный скрипт, который позволяет управлять Ваши пользователями, принимать от них платежи, защищать контент, интегрироваться с популярными скриптами и сервисами.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,AS/400cl,"AS/400 Control Language — скриптовый язык, созданный в корпорации IBM для платформы IBM AS/400 . CL может быть использован для создания программы (сравнимо с скриптами) , в которой использован функционал “нормальных” программ, такой как объявление переменных, GOTO, FOR, IF-THEN-ELSE, входной файл и другие. Большинство команд AS/400 CL были написаны разработчиками из IBM для выполнения команд системного уровня, таких как резервное копирование данных и конфигурация системы.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARCserve, — программное обеспечение для резервного копирования компании CA Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aviation,"– это лаборатория креативных идей в авиационной индустрии. Благодаря многолетнему изучению рынка, безграничной креативности, маркетинговым новшествам и постоянному развитию продукта мы имеем возможность предоставить рынку инновации, в которых он так нуждается.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Audacity,"— свободный многоплатформенный аудиоредактор звуковых файлов, ориентированный на работу с несколькими дорожками. Программа была выпущена и распространяется на условиях GNU General Public License.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,AutoLISP,"AutoLISP - диалект языка программирования LISP, созданный для использования с полной версией AutoCAD и его производных, к которым относятся Autodesk MAP 3D и Autodesk Architectural Desktop. AutoLISP API и интерпретатор для выполнения кода AutoLISP не включены в линию продуктов AutoCAD LT, за исключением дополнений, таких как «LT-Extender»",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assembla,"Assembla — это коммерческий веб-сервис, предоставляющий набор инструментов на основе облачных технологий для совместной разработки и управления IT-проектами. Среди предоставляемого инструментария присутствуют система управления проектами, командами и задачами, система контроля и учёта времени, система отслеживания ошибок, система управления версиями, система вики документирования, система развёртывания приложений через FTP, система поддержки пользователей через E-mail, хостинг файлов, pastebin-сервис, система совместных обсуждений и другое.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asterisk,"Asterisk — свободное решение компьютерной телефонии (в том числе, VoIP) с открытым исходным кодом от компанииDigium, первоначально разработанное Марком Спенсером. Приложение работает на операционных системах Linux,FreeBSD, OpenBSD и Solaris и др.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,AspectJ,"AspectJ — аспектно-ориентированное расширение языка Java, созданное компанией PARC. Язык доступен в проектахEclipse Foundation как отдельно, так и в составе среды разработки Eclipse. Язык стал дефакто стандартом аспектно-ориентированного программирования, подчёркивая простоту и удобство для пользователей. С первого выпуска язык использует Java-подобный синтаксис.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Autodesk," — компания, крупнейший в мире[источник не указан 735 дней] поставщик программного обеспечения для промышленного и гражданского строительства, машиностроения, рынка средств информации и развлечений.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,ArcScene,"функции 3D-моделирования реализуются с использованием модуля (расширения, extension) ArcScene. ArcScene предоставляет широкий круг возможностей для трехмерной визуализации, созданию и анализу поверхностей.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,ArchiCAD,"ArchiCAD — графический программный пакет САПР для архитекторов, созданный фирмой Graphisoft. Предназначен для проектирования архитектурно-строительных конструкций и решений, а также элементов ландшафта, мебели и т. п.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adobe-pdf,"формат электронных документов, разработанный компанией Adobe Systems. Кроссплатформенность формата создает удобные условия для организации электронного документооборота. ",,,,,,,,,,,,,,,,,,,,,,"Документ в формате pdf может содержать шрифты, графику, мультимедийные элементы, что гарантирует правильное отображение независимо от операционной системы, программного обеспечения и пользовательских настроек конкретного компьютера. Именно это свойство - сохранять исходный вид и делает его привлекательным. ",,,,,
